Year,URL,Date,Competition,Opponent,Goals_Scored,Goals_Received,Attendance,Month,DOW,Result,temperature,rain
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvslafc-05-01-2021,Saturday May 1 2021,MLS Regular Season,LAFC,1,1,7850,May,Saturday,D,21.6,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsskc-05-12-2021,Wednesday May 12 2021,MLS Regular Season,Kansas City,1,0,7054,May,Wednesday,W,19.2,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsvan-05-22-2021,Saturday May 22 2021,MLS Regular Season,Vancouver,2,1,9255,May,Saturday,W,24.4,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvspor-06-23-2021,Wednesday June 23 2021,MLS Regular Season,Portland,2,2,10791,June,Wednesday,D,29.1,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvscin-07-03-2021,Saturday July 3 2021,MLS Regular Season,Cincinnati,1,1,20021,July,Saturday,D,27.0,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsrsl-07-31-2021,Saturday July 31 2021,MLS Regular Season,Salt Lake,0,0,13462,July,Saturday,D,29.4,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvscol-08-14-2021,Saturday August 14 2021,MLS Regular Season,Colorado,1,3,13908,August,Saturday,L,29.4,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsdal-08-21-2021,Saturday August 21 2021,MLS Regular Season,Dallas,2,2,13548,August,Saturday,D,29.8,0
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsmin-08-28-2021,Saturday August 28 2021,MLS Regular Season,Minnesota,1,2,14521,August,Saturday,L,27.5,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvspor-09-03-2021,Friday September 3 2021,MLS Regular Season,Portland,0,2,9872,September,Friday,L,27.8,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsatx-09-11-2021,Saturday September 11 2021,MLS Regular Season,Austin,3,0,14070,September,Saturday,W,26.4,0
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsdal-09-18-2021,Saturday September 18 2021,MLS Regular Season,Dallas,3,2,12353,September,Saturday,W,27.3,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsvan-09-29-2021,Wednesday September 29 2021,MLS Regular Season,Vancouver,0,0,12114,September,Wednesday,D,24.3,1
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvssea-10-16-2021,Saturday October 16 2021,MLS Regular Season,Seattle,2,1,14265,October,Saturday,W,19.6,0
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvsla-10-20-2021,Wednesday October 20 2021,MLS Regular Season,LA,0,3,13798,October,Wednesday,L,24.6,0
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvscol-10-31-2021,Sunday October 31 2021,MLS Regular Season,Colorado,0,1,14474,October,Sunday,L,21.0,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsrsl-02-27-2022,Sunday February 27 2022,MLS Regular Season,Salt Lake,0,0,18561,February,Sunday,D,8.2,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsvan-03-12-2022,Saturday March 12 2022,MLS Regular Season,Vancouver,2,1,13028,March,Saturday,W,6.8,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvscol-03-19-2022,Saturday March 19 2022,MLS Regular Season,Colorado,1,1,17007,March,Saturday,D,17.3,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvssj-04-09-2022,Saturday April 9 2022,MLS Regular Season,San Jose,4,3,15414,April,Saturday,W,20.6,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvspor-04-16-2022,Saturday April 16 2022,MLS Regular Season,Portland,0,0,13650,April,Saturday,D,24.2,0
2022,https://www.houstondynamofc.com/competitions/u-s-open-cup/2022/matches/houvsrgv-04-19-2022,Tuesday April 19 2022,U.S. Open Cup,RGV FC,2,1,7983,April,Tuesday,W,18.8,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsatx-04-30-2022,Saturday April 30 2022,MLS Regular Season,Austin,1,2,16296,April,Saturday,L,25.3,0
2022,https://www.houstondynamofc.com/competitions/u-s-open-cup/2022/matches/houvssa-05-11-2022,Wednesday May 11 2022,U.S. Open Cup,San Antonio,1,0,2541,May,Wednesday,W,26.5,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsnsh-05-14-2022,Saturday May 14 2022,MLS Regular Season,Nashville,2,0,16035,May,Saturday,W,26.4,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvssea-05-18-2022,Wednesday May 18 2022,MLS Regular Season,Seattle,0,1,11093,May,Wednesday,L,27.3,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvschi-06-25-2022,Saturday June 25 2022,MLS Regular Season,Chicago,2,0,13081,June,Saturday,W,29.8,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsclt-07-03-2022,Sunday July 3 2022,MLS Regular Season,Charlotte,1,2,19242,July,Sunday,L,29.7,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsdal-07-09-2022,Saturday July 9 2022,MLS Regular Season,Dallas,2,2,21284,July,Saturday,D,31.0,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsmin-07-23-2022,Saturday July 23 2022,MLS Regular Season,Minnesota,1,2,15223,July,Saturday,L,29.5,1
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsmtl-08-13-2022,Saturday August 13 2022,MLS Regular Season,Montréal,2,3,21284,August,Saturday,L,28.1,1
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvslafc-08-31-2022,Wednesday August 31 2022,MLS Regular Season,LAFC,2,1,21284,August,Wednesday,W,27.8,1
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsskc-09-10-2022,Saturday September 10 2022,MLS Regular Season,Kansas City,0,0,15169,September,Saturday,D,28.1,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsne-09-13-2022,Tuesday September 13 2022,MLS Regular Season,New England,3,1,10305,September,Tuesday,W,26.9,0
2022,https://www.houstondynamofc.com/competitions/mls-regular-season/2022/matches/houvsla-10-09-2022,Sunday October 9 2022,MLS Regular Season,LA,1,3,21284,October,Sunday,L,24.0,0
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsatx-03-18-2023,Saturday March 18 2023,MLS Regular Season,Austin,2,0,19047,March,Saturday,W,10.1,1
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsnyc-03-25-2023,Saturday March 25 2023,MLS Regular Season,New York City,1,0,13024,March,Saturday,W,24.4,0
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsla-04-08-2023,Saturday April 8 2023,MLS Regular Season,LA,3,0,19128,April,Saturday,W,15.6,1
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsmia-04-22-2023,Saturday April 22 2023,MLS Regular Season,Miami,1,0,16045,April,Saturday,W,20.7,0
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsrsl-05-06-2023,Saturday May 6 2023,MLS Regular Season,Salt Lake,0,0,13793,May,Saturday,D,25.9,1
2023,https://www.houstondynamofc.com/competitions/u-s-open-cup/2023/matches/houvsskc-05-10-2023,Wednesday May 10 2023,U.S. Open Cup,Kansas City,1,0,5094,May,Wednesday,W,21.8,1
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvssea-05-13-2023,Saturday May 13 2023,MLS Regular Season,Seattle,0,1,14061,May,Saturday,L,24.6,1
2023,https://www.houstondynamofc.com/competitions/u-s-open-cup/2023/matches/houvsmin-05-23-2023,Tuesday May 23 2023,U.S. Open Cup,Minnesota,4,0,2947,May,Tuesday,W,26.3,0
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsatx-05-27-2023,Saturday May 27 2023,MLS Regular Season,Austin,2,1,16055,May,Saturday,W,26.8,0
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvslafc-06-10-2023,Saturday June 10 2023,MLS Regular Season,LAFC,4,0,15366,June,Saturday,W,28.2,1
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvssj-06-21-2023,Wednesday June 21 2023,MLS Regular Season,San Jose,4,1,14249,June,Wednesday,W,30.3,1
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsskc-07-08-2023,Saturday July 8 2023,MLS Regular Season,Kansas City,2,2,16489,July,Saturday,D,28.6,1
2023,https://www.houstondynamofc.com/competitions/mls-regular-season/2023/matches/houvsmin-07-12-2023,Wednesday July 12 2023,MLS Regular Season,Minnesota,0,3,11855,July,Wednesday,L,30.4,0
2023,https://www.houstondynamofc.com/competitions/leagues-cup/2023/matches/cslvshou-07-25-2023,Tuesday July 25 2023,Leagues Cup,Houston,2,2,12627,July,Tuesday,D,30.1,1
2023,https://www.houstondynamofc.com/competitions/leagues-cup/2023/matches/pacvshou-08-02-2023,Wednesday August 2 2023,Leagues Cup,Houston,0,0,10438,August,Wednesday,D,31.3,0
